Date,EUR,Daily_Returns_Percentage,Weekly_Returns_Percentage,DR_Classes,WR_Classes,News
2016-01-02,0.9208620000000001,0.010749640864261778,-1.0389590440128558,PS,NS,"skywriters rose parade plead anybody trump/,,,/heart doctors listening clues future stethoscopes/,,,/man drove car french troops jihadi propaganda computer prosecutor/,,,/chicago distrust toward mayor turned personal/,,,/donald trump featured new jihadist recruitment video/,,,/putin names united states among threats new russian security strategy/,,,/shi ite muslims worldwide decry execution saudi cleric/,,,/bernie sanders raises <NUM> million latest fundraising quarter/,,,/iowa fans boo stanford marching band rose bowl halftime show/,,,/saudi arabia executes prominent shiite cleric <NUM> others <NUM> cities"
2016-01-03,0.9202889999999999,0.062224307225207554,-0.9699949969718489,PS,NS,"explosions gunshots indian consulate afghan city mazar/,,,/likely <NUM> republican nominee/,,,/decluttering guru marie kondo back life-changing magic/,,,/gop consultant day/,,,/heckler disrupts hillary clinton town hall bill clinton sexual history/,,,/one year two races inside republican party bizarre tumultuous <NUM>/,,,/hollowing middle class/,,,/israelis comparing tel aviv shooting attacks paris/,,,/star wars force awakens hurtles toward becoming biggest domestic film ever/,,,/steelers steal playoff spot jets fall rex ryan patriots problem – nfl week <NUM>"
2016-01-04,0.923285,-0.32554990877866885,-1.2912568635732953,NS,NS,"dead college football player leaves clues concussions toll brain/,,,/hillary clinton miscast figure <NUM> political stage/,,,/oregon standoff america double standards race religion/,,,/waka flocka nonsense bill cosby/,,,/oregon occupiers land dispute explained <NUM> maps/,,,/putin anti-obama propaganda ugly desperate/,,,/dollar hovers near two-week high eyes policy divergence support <NUM>/,,,/ford toyota ally counter silicon valley dashboard war/,,,/real sack coach benitez appoint zidane/,,,/republican presidential hopefuls tread lightly oregon militia news"
2016-01-05,0.9300280000000001,-0.7303270387800183,-1.612309359741559,NS,NS,"exclusive verizon launches auction sell data centers sources/,,,/va. sen. creigh deeds sues state others <NUM> million son suicide/,,,/conservation groups denounce oregon occupiers saying republican teddy roosevelt envisioned/,,,/potential bidders size swiss travel group kuoni/,,,/presidential candidate sanders takes aim wall street clinton speech/,,,/yahoo must face class action text messages u.s. judge/,,,/obama administration asks top court reject texas abortion law/,,,/obama responsible anger/,,,/christie hits back rubio slime way white house/,,,/president obama amazingly emotional speech gun control"
2016-01-06,0.92771,0.24923980783374589,-1.3584973275820715,PS,NS,"university fires professor says sandy hook hoax/,,,/valeant appoint interim ceo pearson remains hospitalized source/,,,/l.a. prosecutor declines charge cosby allegations <NUM> women/,,,/white house evidence support north korean hydrogen bomb claim/,,,/judge rules officer william porter must testify officers freddie gray case/,,,/north korea test draws threat sanctions despite h-bomb doubts/,,,/twitter 10k twitterati say save war peace/,,,/america duped climate change/,,,/congress sends bill gut obamacare certain veto/,,,/gop survive civil war"
2016-01-07,0.915366,1.3305882226126613,0.6075175821777492,PS,PS,"<NUM> myths china economy/,,,/gabrielle giffords longer wait congress gun lobby grip act/,,,/microbeads soon banned toothpaste soaps/,,,/renault-nissan alliance plans self-driving cars next four years/,,,/transcanada sues u.s. keystone xl pipeline rejection/,,,/<NUM> starve death besieged syrian town medical charity says/,,,/obama tries bridge divide guns seems wide ever/,,,/united states shouldnâ€™t take sides sunni-shiite struggle/,,,/paris police kill man armed meat cleaver charlie hebdo anniversary/,,,/pro life surrogate mother stand reducing triplets"
2016-01-08,0.915336,0.0032773775735535082,0.6107750491063086,PS,PS,"democrats urge obama end roundup central american migrants/,,,/exclusive republican politicians jumped gun terrorism suspect arrest sources/,,,/notorious mexican drug lord el chapo recaptured months brazen escape/,,,/republican cruz pushes back questions u.s. citizenship/,,,/crash rates self-driving cars less conventional car study/,,,/exclusive u.s. considers ending program lures cuban doctors defect/,,,/philadelphia police man tried kill officer pledged allegiance islamic state/,,,/dreadful week stocks look reason bounce/,,,/forgotten way african americans stayed safe racist america/,,,/girls children books"
2016-01-09,0.915399,-0.006882718477143612,0.5932484997752141,NS,PS,"mexican officials chipped away el chapo network recapture/,,,/florida couple kept adopted daughter inside glorified cage police say/,,,/ted cruz spanks daughter republicans a-ok/,,,/drug lord guzman faces extradition u.s. lapses lead capture/,,,/juniper networks drop code tied national security agency/,,,/locked tight duel iowa trump stresses need win state/,,,/powerball jackpot jumps <NUM> million fueling american fantasies/,,,/texas barbecue joint rewarding customers bring guns/,,,/divided country gets divisive election/,,,/kerry respond appropriate jailed reporter case"
2016-01-10,0.9148139999999999,0.06390655877929419,0.594921812604511,PS,PS,"cuban mexican. rubio cruz connect latino voters/,,,/new taliban leader whose shadow hangs afghan peace talks/,,,/ever slowly euro zone economy awakes/,,,/rubio absolutely stands <NUM> florida proposal give in-state tuition undocumented immigrants/,,,/bombs laid islamic state hamper iraqi troops ramadi victory/,,,/scenario could become nightmare hillary clinton/,,,/jackpot-rigging scandal forgotten powerball fever sweeps united states/,,,/u.s. flies b-52 south korea north nuclear test/,,,/wall street faces profit recession earnings season begins/,,,/white house invites syrian refugee obama state union address"
2016-01-11,0.9206979999999999,-0.6431908562833542,0.2801951726715117,NS,PS,"imagine congress/,,,/white supremacists campaign calls trump say need muslims/,,,/slain virginia student scent found suspect apartment witness/,,,/carmakers rush put latest tech lower-priced models/,,,/clinton seeks surcharge tax wealthiest tier americans/,,,/smart gun law passes n.j. assembly awaits possible christie veto/,,,/u.n. official says starvation exists besieged syrian towns/,,,/u.s. mexican efforts battle gun trafficking falter gao/,,,/underestimate power trump rage-fueled rise/,,,/exclusive u.s. state attorneys general joining probe health insurer mergers"
2016-01-12,0.921442,-0.08080825634465327,0.9231980112426896,NS,PS,"mexican kingpin chapo tried trademark name local tv/,,,/pennsylvania committee delays vote attorney general removal/,,,/suicide bomber kills <NUM> people mainly germans istanbul/,,,/sanders surge may help hillary clinton — bring first/,,,/google add partners self-driving cars exec/,,,/xinjiang cotton crossroads china new silk road/,,,/conservative u.s. justices prepared deliver blow unions/,,,/factbox guns terrorism top social media threads ahead obama address/,,,/mother texas affluenza teen released jail sheriff/,,,/supreme court finds florida capital punishment process unconstitutional"
